Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D,Time_Group
2024-11-28 18:31:12,Class A,219026490,55.631077,7.691927,Under way using engine,0.0,9.0,13.0,12.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,10.0
2024-11-28 18:31:12,Class A,219026490,55.631077,7.691927,Under way using engine,0.0,9.0,13.0,12.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,10.0
2024-11-28 18:31:42,Class A,219026490,55.632233,7.692398,Under way using engine,0.0,8.8,12.0,11.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,10.0
2024-11-28 18:31:52,Class A,219026490,55.63262,7.69253,Under way using engine,0.0,8.6,8.0,9.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,10.0
2024-11-28 18:31:52,Class A,219026490,55.63262,7.69253,Under way using engine,0.0,8.6,8.0,9.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,10.0
2024-11-28 18:32:02,Class A,219026490,55.633112,7.692692,Under way using engine,0.0,8.9,9.0,8.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,10.0
2024-11-28 18:32:02,Class A,219026490,55.633112,7.692692,Under way using engine,0.0,8.9,9.0,8.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,10.0
2024-11-28 18:32:12,Class A,219026490,55.633473,7.692788,Under way using engine,,9.0,7.0,6.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,10.0
2024-11-28 18:32:12,Class A,219026490,55.633473,7.692788,Under way using engine,,9.0,7.0,6.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,10.0
2024-11-28 18:32:38,Class A,219026490,55.634545,7.692675,Under way using engine,,8.8,348.0,342.0,9896024,OYGB2,LEVANTE,Cargo,,12.0,33.0,GPS,2.5,HORNS REV 3,28/11/2024 17:26:00,AIS,14.0,19.0,6.0,6.0,10.0
