Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D,Time_Group
2024-11-28 07:30:04,Class A,257341000,55.663417,7.64314,Restricted maneuverability,-2.2,0.0,359.0,359.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:09,Class A,257341000,55.663413,7.64314,Restricted maneuverability,3.6,0.2,243.4,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:14,Class A,257341000,55.663417,7.643142,Restricted maneuverability,0.0,0.2,270.0,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:17,Class A,257341000,55.663412,7.64314,Restricted maneuverability,2.9,0.4,255.9,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:20,Class A,257341000,55.663415,7.643142,Restricted maneuverability,-2.2,0.1,270.0,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:24,Class A,257341000,55.66341,7.643138,Restricted maneuverability,0.0,0.4,255.9,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:27,Class A,257341000,55.663412,7.64314,Restricted maneuverability,0.0,0.3,270.0,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:30,Class A,257341000,55.66341,7.643142,Restricted maneuverability,-2.2,0.2,270.0,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:34,Class A,257341000,55.663412,7.64314,Restricted maneuverability,-1.1,0.2,270.0,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:34,Class A,257341000,55.663412,7.64314,Restricted maneuverability,-1.1,0.2,270.0,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:37,Class A,257341000,55.663412,7.643135,Restricted maneuverability,1.1,0.1,270.0,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:41,Class A,257341000,55.663412,7.64314,Restricted maneuverability,-2.9,0.3,287.4,359.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:41,Class A,257341000,55.663412,7.64314,Restricted maneuverability,-2.9,0.3,287.4,359.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:44,Class A,257341000,55.663417,7.643142,Restricted maneuverability,1.1,0.2,270.0,0.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:47,Class A,257341000,55.663412,7.643138,Restricted maneuverability,0.0,0.2,269.0,359.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:50,Class A,257341000,55.663417,7.643138,Restricted maneuverability,-2.9,0.4,283.0,359.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:54,Class A,257341000,55.663413,7.643138,Restricted maneuverability,-2.9,0.3,287.4,359.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:57,Class A,257341000,55.663417,7.64314,Restricted maneuverability,1.1,0.2,295.5,359.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
2024-11-28 07:30:59,Class A,257341000,55.663417,7.643138,Restricted maneuverability,1.1,0.1,269.0,359.0,9665712,LAFS8,OLYMPIC ARES,Other,No additional information,22.0,116.0,GPS,6.3,HORNS REV 3,26/11/2024 23:00:00,AIS,18.0,98.0,11.0,11.0,15.0
