Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
2024-11-26 19:10:38,Class A,246396000,53.967293,8.541225,Under way using engine,-2.9,18.5,103.0,102.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:12:15,Class A,246396000,53.965592,8.554748,Under way using engine,-2.9,18.2,101.2,100.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:12:38,Class A,246396000,53.965215,8.558118,Under way using engine,0.7,18.3,101.0,100.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:13:39,Class A,246396000,53.964252,8.566597,Under way using engine,4.5,18.3,101.2,100.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:13:52,Class A,246396000,53.964062,8.568283,Under way using engine,0.4,18.3,101.6,100.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:14:39,Class A,246396000,53.96327,8.57504,Under way using engine,2.2,18.3,101.5,100.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:15:15,Class A,246396000,53.962688,8.580113,Under way using engine,5.4,18.3,100.6,100.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:15:27,Class A,246396000,53.96249,8.5818,Under way using engine,1.6,18.3,101.2,100.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:16:15,Class A,246396000,53.961688,8.588587,Under way using engine,10.0,18.3,102.9,108.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:26:15,Class A,246396000,53.932462,8.659012,Under way using engine,1.1,18.4,144.9,145.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:26:33,Class A,246396000,53.931187,8.660538,Under way using engine,8.7,18.4,144.8,147.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:26:45,Class A,246396000,53.930332,8.661538,Under way using engine,11.4,18.5,145.7,149.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:26:51,Class A,246396000,53.929907,8.662003,Under way using engine,10.0,18.5,146.4,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:27:15,Class A,246396000,53.928147,8.663718,Under way using engine,-0.7,18.5,150.6,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:27:27,Class A,246396000,53.927233,8.664605,Under way using engine,-1.1,18.5,150.4,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:27:51,Class A,246396000,53.925525,8.66623,Under way using engine,-2.2,18.5,150.6,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:32:21,Class A,246396000,53.905938,8.684915,Under way using engine,-0.4,16.7,150.8,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:32:27,Class A,246396000,53.90554,8.685298,Under way using engine,-0.0,16.6,150.6,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:32:45,Class A,246396000,53.904342,8.686443,Under way using engine,-1.6,16.6,150.7,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:32:51,Class A,246396000,53.903943,8.686822,Under way using engine,-0.4,16.6,150.8,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:33:03,Class A,246396000,53.903143,8.687585,Under way using engine,-0.2,16.5,150.6,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:33:27,Class A,246396000,53.901392,8.68923,Under way using engine,-0.7,16.5,150.7,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:33:33,Class A,246396000,53.901048,8.689548,Under way using engine,-0.4,16.5,150.8,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:36:08,Class A,246396000,53.891173,8.698918,Under way using engine,-0.4,14.4,150.4,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:36:14,Class A,246396000,53.89083,8.699237,Under way using engine,2.2,14.3,149.8,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:36:27,Class A,246396000,53.89017,8.699917,Under way using engine,2.9,13.9,148.9,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:38:14,Class A,246396000,53.884672,8.705452,Under way using engine,0.2,12.0,148.5,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:38:20,Class A,246396000,53.884393,8.705747,Under way using engine,0.2,11.8,148.2,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:40:22,Class A,246396000,53.879323,8.711225,Under way using engine,-1.6,9.7,147.6,151.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:42:32,Class A,246396000,53.874858,8.716182,Under way using engine,-0.4,8.2,143.6,147.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:45:22,Class A,246396000,53.86818,8.724368,Under way using engine,-12.9,12.0,145.8,144.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 19:56:35,Class A,246396000,53.83886,8.796318,Under way using engine,0.4,17.6,94.7,93.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 20:20:47,Class A,246396000,53.852762,9.000138,Under way using engine,0.7,16.0,74.8,72.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 20:22:59,Class A,246396000,53.855495,9.014617,Under way using engine,-0.2,14.2,68.1,66.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
2024-11-26 20:26:38,Class A,246396000,53.860745,9.036458,Under way using engine,0.0,13.3,67.4,65.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
