# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:00:07,Class A,219000818,55.270338,9.889317,Under way using engine,0.0,0.0,178.7,273.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:07,Class A,219000818,55.270338,9.889317,Under way using engine,0.0,0.0,178.7,273.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:15,Class A,219000818,55.270337,9.889317,Under way using engine,0.0,0.0,178.7,270.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:15,Class A,219000818,55.270337,9.889317,Under way using engine,0.0,0.0,178.7,270.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:27,Class A,219000818,55.270332,9.88932,Under way using engine,0.0,0.0,178.7,270.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:27,Class A,219000818,55.270332,9.88932,Under way using engine,0.0,0.0,178.7,270.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:37,Class A,219000818,55.27033,9.88932,Under way using engine,0.0,0.0,178.7,270.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:37,Class A,219000818,55.27033,9.88932,Under way using engine,0.0,0.0,178.7,270.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:46,Class A,219000818,55.27033,9.889317,Under way using engine,0.0,0.0,178.7,273.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:46,Class A,219000818,55.27033,9.889317,Under way using engine,0.0,0.0,178.7,273.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:57,Class A,219000818,55.270328,9.889312,Under way using engine,0.0,0.0,178.7,270.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:00:57,Class A,219000818,55.270328,9.889312,Under way using engine,0.0,0.0,178.7,270.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:01:07,Class A,219000818,55.270327,9.889307,Under way using engine,0.0,0.0,178.7,273.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:01:07,Class A,219000818,55.270327,9.889307,Under way using engine,0.0,0.0,178.7,273.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:01:15,Class A,219000818,55.270323,9.889303,Under way using engine,0.0,0.0,178.7,273.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:01:15,Class A,219000818,55.270323,9.889303,Under way using engine,0.0,0.0,178.7,273.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:01:27,Class A,219000818,55.270323,9.889305,Under way using engine,0.0,0.0,178.7,270.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:01:27,Class A,219000818,55.270323,9.889305,Under way using engine,0.0,0.0,178.7,270.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
