# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:00:00,Class A,211409660,54.464793,12.558533,At anchor,21.6,0.1,228.6,234.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:04:40,Class A,211409660,54.464793,12.558533,At anchor,21.6,0.1,228.6,234.0,9296949,DBBB,CAPELLA,Law enforcement,,11.0,41.0,GPS,1.7,SURVEY OPS,22/11/2024 12:00:00,AIS,15.0,26.0,4.0,7.0
26/11/2024 00:06:00,Class A,211409660,54.464797,12.558555,At anchor,19.7,0.0,220.4,228.0,9296949,DBBB,CAPELLA,Law enforcement,,11.0,41.0,GPS,1.7,SURVEY OPS,22/11/2024 12:00:00,AIS,15.0,26.0,4.0,7.0
26/11/2024 00:09:01,Class A,211409660,54.46485,12.558498,At anchor,-23.6,0.2,1.8,240.0,9296949,DBBB,CAPELLA,Law enforcement,,11.0,41.0,GPS,1.7,SURVEY OPS,22/11/2024 12:00:00,AIS,15.0,26.0,4.0,7.0
26/11/2024 00:10:40,Class A,211409660,54.46485,12.558498,At anchor,-23.6,0.2,1.8,240.0,9296949,DBBB,CAPELLA,Law enforcement,,11.0,41.0,GPS,1.7,SURVEY OPS,22/11/2024 12:00:00,AIS,15.0,26.0,4.0,7.0
26/11/2024 00:15:00,Class A,211409660,54.464815,12.558537,At anchor,7.5,0.2,53.7,243.0,9296949,DBBB,CAPELLA,Law enforcement,,11.0,41.0,GPS,1.7,SURVEY OPS,22/11/2024 12:00:00,AIS,15.0,26.0,4.0,7.0
26/11/2024 00:18:01,Class A,211409660,54.464817,12.558508,At anchor,5.4,0.2,16.0,238.0,9296949,DBBB,CAPELLA,Law enforcement,,11.0,41.0,GPS,1.7,SURVEY OPS,22/11/2024 12:00:00,AIS,15.0,26.0,4.0,7.0
26/11/2024 00:21:01,Class A,211409660,54.464833,12.558517,At anchor,2.2,0.1,129.9,235.0,9296949,DBBB,CAPELLA,Law enforcement,,11.0,41.0,GPS,1.7,SURVEY OPS,22/11/2024 12:00:00,AIS,15.0,26.0,4.0,7.0
26/11/2024 00:24:00,Class A,211409660,54.464832,12.55853,At anchor,1.1,0.2,141.9,234.0,9296949,DBBB,CAPELLA,Law enforcement,,11.0,41.0,GPS,1.7,SURVEY OPS,22/11/2024 12:00:00,AIS,15.0,26.0,4.0,7.0
26/11/2024 00:27:01,Class A,211409660,54.464797,12.558568,At anchor,11.4,0.1,165.7,231.0,9296949,DBBB,CAPELLA,Law enforcement,,11.0,41.0,GPS,1.7,SURVEY OPS,22/11/2024 12:00:00,AIS,15.0,26.0,4.0,7.0
26/11/2024 00:28:41,Class A,211409660,54.464797,12.558568,At anchor,11.4,0.1,165.7,231.0,9296949,DBBB,CAPELLA,Law enforcement,,11.0,41.0,GPS,1.7,SURVEY OPS,22/11/2024 12:00:00,AIS,15.0,26.0,4.0,7.0
