# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
26/11/2024 00:01:11,Class A,212617000,55.49208,9.495033,Moored,0.0,0.0,,267.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
26/11/2024 00:02:17,Class A,212617000,55.49208,9.495033,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:02:17,Class A,212617000,55.49208,9.495033,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:07:12,Class A,212617000,55.492095,9.495053,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:10:14,Class A,212617000,55.492057,9.495043,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:13:13,Class A,212617000,55.492062,9.495043,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:13:13,Class A,212617000,55.492062,9.495043,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:14:15,Class A,212617000,55.492062,9.495043,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:19:13,Class A,212617000,55.492055,9.49505,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:19:13,Class A,212617000,55.492055,9.49505,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:20:15,Class A,212617000,55.492055,9.49505,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:26:14,Class A,212617000,55.492055,9.49505,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
26/11/2024 00:28:12,Class A,212617000,55.49207,9.495053,Moored,0.0,0.0,,267.0,9148166,5BSZ4,FRANCISCA,Other,No additional information,12.0,89.0,GPS,5.0,KOLDING,25/11/2024 03:00:00,AIS,76.0,13.0,4.0,8.0
