Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D,Time_Group
2024-11-22 00:01:41,Class A,636022672,57.64575,10.72491,At anchor,3.6,0.0,226.9,334.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,,0
2024-11-22 00:01:41,Class A,636022672,57.64575,10.72491,At anchor,3.6,0.0,226.9,334.0,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,,0
2024-11-22 00:02:19,Class A,636022672,57.64575,10.72491,At anchor,3.6,0.0,226.9,334.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:02:19,Class A,636022672,57.64575,10.72491,At anchor,3.6,0.0,226.9,334.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:04:38,Class A,636022672,57.645618,10.724538,At anchor,7.5,0.0,253.7,349.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:04:38,Class A,636022672,57.645618,10.724538,At anchor,7.5,0.0,253.7,349.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:07:43,Class A,636022672,57.645647,10.724187,At anchor,2.9,0.0,302.5,1.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:07:43,Class A,636022672,57.645647,10.724187,At anchor,2.9,0.0,302.5,1.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:08:19,Class A,636022672,57.645647,10.724187,At anchor,2.9,0.0,302.5,1.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:08:19,Class A,636022672,57.645647,10.724187,At anchor,2.9,0.0,302.5,1.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:10:39,Class A,636022672,57.645662,10.724102,At anchor,-8.7,0.0,311.0,3.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:10:39,Class A,636022672,57.645662,10.724102,At anchor,-8.7,0.0,311.0,3.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:10:39,Class A,636022672,57.645662,10.724102,At anchor,-8.7,0.0,311.0,3.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:13:41,Class A,636022672,57.645623,10.724165,At anchor,-2.9,0.1,125.2,1.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:13:41,Class A,636022672,57.645623,10.724165,At anchor,-2.9,0.1,125.2,1.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:14:19,Class A,636022672,57.645623,10.724165,At anchor,-2.9,0.1,125.2,1.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:14:19,Class A,636022672,57.645623,10.724165,At anchor,-2.9,0.1,125.2,1.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:16:40,Class A,636022672,57.645622,10.724427,At anchor,-3.6,0.2,65.5,354.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
2024-11-22 00:16:40,Class A,636022672,57.645622,10.724427,At anchor,-3.6,0.2,65.5,354.0,9299135,5LJX4,MANDALA,Tanker,No additional information,40.0,182.0,Internal,7.3,LV/VNT,23/11/2024 07:00:00,AIS,154.0,28.0,14.0,26.0,0
